GPA,Major,Clubs,Attendance,Dropout
3.24,Math,2,59.2,0
3.82,Economics,1,66.3,0
3.5,Math,0,91.6,0
2.65,Economics,0,66.4,0
2.48,CS,2,95.3,0
3.0,CS,3,91.5,0
2.25,CS,2,52.8,1
2.21,Economics,3,98.2,0
2.69,CS,4,84.2,0
2.88,CS,1,71.3,0
2.41,History,4,67.6,1
2.12,History,2,90.4,0
2.91,Economics,3,71.0,0
3.18,CS,2,79.5,0
3.85,Economics,1,79.2,0
2.64,History,3,72.9,0
2.96,History,1,83.9,0
3.27,CS,0,96.2,0
2.43,CS,1,99.8,0
3.52,CS,2,92.0,0
3.27,Economics,2,83.3,0
2.84,CS,2,83.3,0
3.19,Math,0,96.0,0
3.46,CS,4,75.3,0
3.1,History,3,90.0,0
3.66,CS,3,87.0,0
4.22,CS,3,63.4,0
3.25,Economics,1,63.1,0
2.94,CS,0,92.0,0
2.37,Math,2,68.5,1
3.71,History,3,82.7,0
3.05,Economics,3,81.0,0
2.65,Economics,0,51.5,0
2.94,History,2,99.5,0
2.39,CS,1,54.8,1
2.89,History,0,65.1,0
3.18,Economics,3,66.2,0
3.56,CS,1,76.9,0
1.96,CS,4,82.5,0
2.94,History,1,78.1,0
2.57,History,1,71.0,0
2.7,CS,2,74.4,0
2.87,Economics,1,80.5,0
2.63,Math,3,88.3,0
2.71,History,4,81.8,0
2.42,Math,2,86.8,0
1.84,CS,0,55.1,1
2.9,Math,2,71.0,0
2.7,History,2,71.0,0
4.0,History,4,84.7,0
2.12,History,1,77.6,0
2.72,Economics,1,53.8,0
2.45,CS,2,92.5,0
2.27,CS,1,92.0,0
2.28,Economics,1,60.6,1
2.47,Math,1,89.3,0
3.14,Economics,1,65.7,0
2.38,Math,5,53.9,1
2.65,History,1,50.4,0
3.23,Math,1,93.6,0
2.73,Economics,0,88.4,0
3.26,Math,1,50.9,0
3.46,History,2,79.9,0
3.49,History,3,76.4,0
1.88,History,2,70.8,1
3.51,Math,1,81.1,0
2.62,Math,7,57.8,0
2.77,Economics,2,72.7,0
2.49,Economics,0,54.3,1
2.53,Math,2,90.6,0
3.38,CS,4,72.7,0
3.16,CS,1,66.1,0
2.95,Economics,1,74.7,0
3.14,Math,4,56.8,0
2.39,Math,1,88.1,0
3.85,History,1,73.2,0
2.47,History,1,65.2,1
3.45,Economics,1,53.7,0
2.77,Math,3,63.4,0
3.19,CS,3,75.9,0
2.21,Math,2,79.1,0
3.56,Math,1,58.0,0
3.01,History,2,90.0,0
3.38,Math,1,75.5,0
2.71,History,4,84.7,0
1.96,History,1,61.4,1
3.15,History,2,61.6,0
2.9,Economics,3,96.9,0
3.59,Economics,0,55.1,0
2.09,CS,2,99.1,0
3.97,Economics,3,73.3,0
3.03,Math,3,59.4,0
2.65,History,2,51.8,0
3.38,Economics,4,82.8,0
3.12,Math,0,91.4,0
3.01,History,2,54.5,0
3.05,Math,5,88.6,0
3.1,CS,3,50.8,0
2.43,CS,0,86.1,0
3.43,History,4,55.1,0
2.69,Economics,4,63.4,0
3.89,Math,2,91.1,0
3.71,History,2,61.6,0
2.43,History,6,71.9,1
3.36,History,1,65.2,0
3.69,CS,2,79.7,0
2.29,Math,4,57.2,1
2.19,Economics,1,65.7,1
3.19,Economics,4,94.3,0
3.42,Economics,4,98.5,0
3.56,Economics,0,98.8,0
2.91,History,2,66.3,0
3.77,CS,4,74.9,0
